angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.04,"(111, 0, 484, 484)",0.0,0.02,0.0,0.81,0.12,0.0
0.03,"(107, 0, 480, 480)",0.0,0.01,0.0,0.86,0.09,0.0
0.01,"(140, 0, 471, 471)",0.0,0.01,0.0,0.9,0.08,0.0
0.02,"(140, 0, 471, 471)",0.0,0.01,0.0,0.86,0.11,0.0
0.05,"(114, 0, 484, 484)",0.0,0.02,0.0,0.82,0.12,0.0
0.03,"(102, 0, 492, 492)",0.0,0.01,0.0,0.81,0.15,0.0
0.04,"(109, 0, 486, 486)",0.0,0.02,0.0,0.85,0.09,0.0
0.05,"(111, 0, 485, 485)",0.0,0.02,0.0,0.74,0.18,0.0
0.07,"(102, 0, 494, 494)",0.0,0.03,0.0,0.77,0.12,0.01
0.03,"(108, 0, 483, 483)",0.0,0.01,0.0,0.88,0.08,0.0
0.04,"(93, 2, 498, 498)",0.0,0.02,0.0,0.86,0.08,0.0
0.04,"(105, 8, 485, 485)",0.0,0.01,0.0,0.86,0.08,0.01
0.04,"(104, 8, 485, 485)",0.0,0.01,0.0,0.86,0.09,0.0
0.05,"(90, 14, 487, 487)",0.0,0.02,0.0,0.78,0.15,0.0
0.04,"(88, 17, 480, 480)",0.0,0.02,0.0,0.82,0.12,0.0
0.04,"(87, 16, 480, 480)",0.0,0.02,0.0,0.87,0.07,0.0
0.03,"(91, 17, 487, 487)",0.0,0.02,0.0,0.76,0.18,0.0
0.05,"(87, 15, 483, 483)",0.0,0.01,0.0,0.8,0.13,0.0
0.05,"(77, 17, 480, 480)",0.0,0.01,0.0,0.86,0.08,0.0
0.05,"(62, 27, 472, 472)",0.0,0.01,0.0,0.76,0.17,0.0
0.04,"(55, 8, 472, 472)",0.0,0.01,0.0,0.79,0.15,0.0
0.04,"(62, 5, 486, 486)",0.0,0.01,0.0,0.88,0.08,0.0
0.05,"(55, 1, 485, 485)",0.0,0.01,0.0,0.9,0.04,0.0
0.04,"(56, 0, 486, 486)",0.0,0.01,0.0,0.88,0.08,0.0
0.07,"(59, 0, 478, 478)",0.0,0.01,0.0,0.76,0.15,0.0
0.04,"(61, 0, 488, 488)",0.0,0.01,0.0,0.81,0.14,0.0
0.05,"(61, 4, 488, 488)",0.0,0.02,0.0,0.78,0.16,0.0
0.04,"(66, 15, 481, 481)",0.0,0.01,0.0,0.84,0.11,0.0
0.05,"(67, 24, 469, 469)",0.0,0.02,0.0,0.64,0.29,0.0
0.02,"(52, 15, 485, 485)",0.0,0.01,0.0,0.79,0.18,0.0
0.07,"(49, 15, 482, 482)",0.0,0.01,0.0,0.81,0.11,0.0
0.1,"(40, 6, 493, 493)",0.0,0.01,0.0,0.58,0.3,0.0
0.09,"(38, 7, 489, 489)",0.0,0.01,0.0,0.6,0.3,0.0
0.08,"(53, 15, 492, 492)",0.0,0.02,0.0,0.54,0.37,0.0
0.03,"(46, 14, 486, 486)",0.0,0.01,0.0,0.37,0.6,0.0
0.15,"(46, 16, 485, 485)",0.0,0.02,0.0,0.49,0.34,0.0
0.07,"(63, 21, 485, 485)",0.0,0.02,0.0,0.76,0.15,0.0
0.11,"(61, 11, 491, 491)",0.0,0.01,0.0,0.66,0.21,0.0
0.07,"(54, 22, 490, 490)",0.0,0.01,0.0,0.72,0.2,0.0
0.05,"(41, 24, 473, 473)",0.0,0.01,0.0,0.77,0.17,0.0
0.07,"(29, 27, 489, 489)",0.0,0.01,0.0,0.71,0.2,0.0
0.13,"(17, 29, 507, 507)",0.0,0.02,0.0,0.62,0.22,0.0
0.14,"(2, 51, 506, 506)",0.0,0.09,0.02,0.23,0.51,0.02
0.23,"(33, 90, 408, 408)",0.01,0.13,0.04,0.18,0.38,0.02
0.13,"(26, 116, 372, 372)",0.0,0.11,0.03,0.13,0.59,0.0
0.19,"(-9, 101, 461, 461)",0.01,0.04,0.0,0.1,0.65,0.0
0.12,"(-15, 120, 457, 457)",0.0,0.08,0.0,0.06,0.73,0.0
0.09,"(-14, 132, 449, 449)",0.0,0.08,0.0,0.02,0.8,0.0
0.16,"(-20, 158, 448, 448)",0.0,0.09,0.0,0.02,0.72,0.0
0.29,"(-11, 164, 417, 417)",0.0,0.04,0.0,0.03,0.63,0.0
0.31,"(-2, 170, 408, 408)",0.0,0.05,0.0,0.04,0.59,0.0
0.32,"(-9, 179, 399, 399)",0.0,0.03,0.01,0.02,0.63,0.0
0.33,"(-2, 212, 365, 365)",0.0,0.08,0.01,0.06,0.51,0.0
0.2,"(1, 194, 358, 358)",0.0,0.03,0.01,0.18,0.58,0.0
0.27,"(-1, 218, 334, 334)",0.01,0.05,0.02,0.11,0.53,0.01
0.15,"(-5, 165, 388, 388)",0.0,0.11,0.02,0.09,0.64,0.0
0.11,"(-2, 145, 401, 401)",0.0,0.09,0.01,0.07,0.73,0.0
0.05,"(-15, 119, 432, 432)",0.0,0.09,0.0,0.08,0.77,0.0
0.15,"(-14, 79, 451, 451)",0.0,0.17,0.02,0.08,0.57,0.0
0.13,"(-26, 56, 475, 475)",0.0,0.13,0.03,0.09,0.61,0.0
0.13,"(-39, 47, 488, 488)",0.0,0.19,0.03,0.1,0.54,0.0
0.1,"(-33, 69, 483, 483)",0.01,0.06,0.05,0.45,0.34,0.0
0.05,"(-49, 57, 495, 495)",0.0,0.26,0.17,0.18,0.32,0.01
0.05,"(-40, 49, 465, 465)",0.0,0.06,0.01,0.36,0.52,0.0
0.12,"(-43, 41, 466, 466)",0.0,0.05,0.0,0.41,0.42,0.0
0.36,"(-30, 30, 480, 480)",0.0,0.05,0.01,0.29,0.21,0.09
0.02,"(12, 50, 454, 454)",0.0,0.05,0.0,0.36,0.57,0.0
